@ref(networkElement)|@const(IpagDevice)class
@index(PE_Device)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|device_model|device_name|device_role|device_sub_role|device_type|ipaddress|loopback10_ipaddr|loopback_ipaddr|mcn|provision_status|ptnii|savpn_siteid|snmpcom_string|subscriber_name
143.0.24.198|143.0.24.198|143.0.24.198|ETHERNET-NFO|IPAG|IPAG|true|S|MX960|SNJSCA0220W|IPAG2||JUNIPER MX SERIES|10.204.242.196|12.122.132.78|143.0.24.198||IN-SERVICE|SNACA322IA2|||
143.0.24.238|143.0.24.238|143.0.24.238|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|GSVLFLST5VS|IPAG1||JUNIPER MX SERIES|10.204.244.157|12.122.132.118|143.0.24.238||IN-SERVICE|GSLFL307IA3|||
12.123.80.84|12.123.80.84|12.123.80.84|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|ORLDFL32WSN|IPAG1||JUNIPER MX SERIES|12.122.122.113|12.123.136.92|12.123.80.84||IN-SERVICE|ORGFL333IA1|||
143.0.68.64|143.0.68.64|143.0.68.64|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVMAH04|IPAG1||JUNIPER MX SERIES|143.1.33.50|147.0.0.48|143.0.68.64||IN-SERVICE|CRCNV382IA1|||
143.0.24.170|143.0.24.170|143.0.24.170|ETHERNET-NFO|IPAG|IPAG|true|S|MX960|ANHMCACL0SW|IPAG2||JUNIPER MX SERIES|10.204.244.85|12.122.132.49|143.0.24.170||IN-SERVICE|ANACA302IA2|||
12.80.72.26|12.80.72.26|12.80.72.26|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|RLGHNCMA26K|IPAG1||JUNIPER MX SERIES|10.204.247.21|12.123.75.110|12.80.72.26||IN-SERVICE|RLFNC309IA1|||
12.122.126.134|12.122.126.134|12.122.126.134|EGS-CFO|EGS|||||dtrmi48ck4||||||||||||
165.87.255.162|165.87.255.162|165.87.255.162|EGS-CFO|EGS|||||FRPARI1002ER1||||||||||||
165.87.250.253|165.87.250.253|165.87.250.253|EGS-CFO|EGS|||||HKHNKN3001ER1||||||||||||
206.13.7.61|206.13.7.61|206.13.7.61|||GFPIP|true|||LSNCA82CRS|||BR|206.13.7.61|206.13.7.61|||||||
12.83.4.4|12.83.4.4|12.83.4.4|||GFPIP|true|||MIYFL82CRS|||BR|12.83.4.4|12.83.4.4|||||||
12.123.67.172|12.123.67.172|12.123.67.172|EGS-CFO|EGS|||||dtrmi304me1||||||||||||
165.87.254.130|165.87.254.130|165.87.254.130|EGS-CFO|EGS|||||FRPARI3002ER1||||||||||||
12.83.9.3|12.83.9.3|12.83.9.3|||GFPIP|true|||ORZFL81CRS|||BR|12.83.9.3|12.83.9.3|||||||
32.119.157.3|32.119.157.3|32.119.157.3|EGS-CFO|EGS|||||INBNGR2002ER1||||||||||||
165.87.208.210|165.87.208.210|165.87.208.210|EGS-CFO|EGS|||||BEBRSL2101ER1||||||||||||
12.122.125.161|12.122.125.161|12.122.125.161|EGS-CFO|EGS|||||sd2ca36ck4||||||||||||
10.144.0.112|10.144.0.112|10.144.0.112|ETHERNET-NFO|IPAG|IPAG|true|S|MX960|SNTCCA010DW|IPAG2||JUNIPER MX SERIES|192.168.112.14|10.144.10.112|10.144.0.112||IN-SERVICE|SNDCA301IA2|||
12.122.124.251|12.122.124.251|12.122.124.251|EGS-CFO|EGS|||||hs1tx51ck4||||||||||||
12.123.80.164|12.123.80.164|12.123.80.164|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVAANA4|IPAG1||JUNIPER MX SERIES|12.122.122.200|12.122.128.74|12.123.80.164||IN-SERVICE|CRANV317IA1|||
149.8.0.128|149.8.0.128|149.8.0.128|||OEW-VPLS|true||JUNIPER MX960|SL9MO305VR1|||VR1|148.2.0.80|143.0.96.116|149.8.0.128||PROV|||cbbsnmp|
8.8.0.176|8.8.0.176|8.8.0.176|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMNP01|IPAG1||JUNIPER MX SERIES|12.81.161.193|12.123.76.78|8.8.0.176||IN-SERVICE|DYDFL305IA1|||
8.8.0.208|8.8.0.208|8.8.0.208|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVAAVR5|IPAG1||JUNIPER MX SERIES|12.81.161.225|12.123.76.111|8.8.0.208||IN-SERVICE|CRDNV330IA1|||
12.122.8.52|12.122.8.52|12.122.8.52|||GFPIP|true|||SANTX22CRS|||BR|12.122.8.52|12.122.8.52|||||||
165.87.245.66|165.87.245.66|165.87.245.66|||GFPIP|true|||MXMXCY1001ME2|||AR|165.87.245.66|165.87.245.66|||||9003||
165.87.253.165|165.87.253.165|165.87.253.165|||GFPIP|true|||NOOSLO1001ME2|||AR|165.87.253.165|165.87.253.165|||||||
165.87.245.76|165.87.245.76|165.87.245.76|||GFPIP|true|||BRRJNR1001ME2|||AR|165.87.245.76|165.87.245.76|||||||
12.122.123.133|12.122.123.133|12.122.123.133|||GFPIP|true|||SFFCA301RR5|||RR|12.122.123.133|12.122.123.133|||||||
165.87.245.230|165.87.245.230|165.87.245.230|||GFPIP|true|||CAOTWB1001ME2|||AR|165.87.245.230|165.87.245.230|||||||
165.87.245.236|165.87.245.236|165.87.245.236|||GFPIP|true|||CATORO2001ME2|||AR|165.87.245.236|165.87.245.236|||||||
32.119.198.249|32.119.198.249|32.119.198.249|||GFPIP|true|||CNSHNG6002ME2|||AR|32.119.198.249|32.119.198.249|||||||
32.119.197.249|32.119.197.249|32.119.197.249|||GFPIP|true|||VNHCMC1002ME2|||AR|32.119.197.249|32.119.197.249|||||||
12.82.88.19|12.82.88.19|12.82.88.19|||GFPIP|true|||||||12.82.88.19|12.82.88.19|||||540||
12.82.152.5|12.82.152.5|12.82.152.5|||GFPIP|true|||||||12.82.152.5|12.82.152.5|||||||
12.82.72.24|12.82.72.24|12.82.72.24|||GFPIP|true|||||||12.82.72.24|12.82.72.24|||||942||
12.82.106.9|12.82.106.9|12.82.106.9|||GFPIP|true|||||||12.82.106.9|12.82.106.9|||||1013||
12.80.72.70|12.80.72.70|12.80.72.70|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|RLGHNCMAWNU|IPAG2||JUNIPER MX SERIES|10.204.247.72|12.123.75.161|12.80.72.70||IN-SERVICE|RLFNC308IB2|||
12.82.0.102|12.82.0.102|12.82.0.102|||GFPIP|true|||||||12.82.0.102|12.82.0.102|||||||
135.184.210.56|135.184.210.56|135.184.210.56|EGS-CFO|EGS|||||brhmalegs01-c6513||||||||||||
12.82.122.12|12.82.122.12|12.82.122.12|||GFPIP|true|||||||12.82.122.12|12.82.122.12|||||||
12.82.40.127|12.82.40.127|12.82.40.127|||GFPIP|true|||||||12.82.40.127|12.82.40.127|||||||
12.82.55.12|12.82.55.12|12.82.55.12|||GFPIP|true|||||||12.82.55.12|12.82.55.12|||||||
12.82.8.98|12.82.8.98|12.82.8.98|||GFPIP|true|||||||12.82.8.98|12.82.8.98|||||||
12.82.148.12|12.82.148.12|12.82.148.12|||GFPIP|true|||||||12.82.148.12|12.82.148.12|||||||
12.82.90.16|12.82.90.16|12.82.90.16|||GFPIP|true|||||||12.82.90.16|12.82.90.16|||||242||
12.82.114.11|12.82.114.11|12.82.114.11|||GFPIP|true|||||||12.82.114.11|12.82.114.11|||||874||
12.82.88.20|12.82.88.20|12.82.88.20|||GFPIP|true|||||||12.82.88.20|12.82.88.20|||||441||
12.82.64.9|12.82.64.9|12.82.64.9|||GFPIP|true|||||||12.82.64.9|12.82.64.9|||||574||
12.82.32.83|12.82.32.83|12.82.32.83|||GFPIP|true|||||||12.82.32.83|12.82.32.83|||||||
12.82.8.72|12.82.8.72|12.82.8.72|||GFPIP|true|||||||12.82.8.72|12.82.8.72|||||||
12.82.104.26|12.82.104.26|12.82.104.26|||GFPIP|true|||||||12.82.104.26|12.82.104.26|||||908||
12.82.40.27|12.82.40.27|12.82.40.27|||GFPIP|true|||||||12.82.40.27|12.82.40.27|||||476||
12.82.8.17|12.82.8.17|12.82.8.17|||GFPIP|true|||||||12.82.8.17|12.82.8.17|||||285||
12.82.70.9|12.82.70.9|12.82.70.9|||GFPIP|true|||||||12.82.70.9|12.82.70.9|||||129||
12.82.70.17|12.82.70.17|12.82.70.17|||GFPIP|true|||||||12.82.70.17|12.82.70.17|||||127||
12.82.63.6|12.82.63.6|12.82.63.6|||GFPIP|true|||||||12.82.63.6|12.82.63.6|||||||
12.82.94.12|12.82.94.12|12.82.94.12|||GFPIP|true|||||||12.82.94.12|12.82.94.12|||||500||
12.82.102.13|12.82.102.13|12.82.102.13|||GFPIP|true|||||||12.82.102.13|12.82.102.13|||||207||
12.82.104.23|12.82.104.23|12.82.104.23|||GFPIP|true|||||||12.82.104.23|12.82.104.23|||||999||
12.82.0.37|12.82.0.37|12.82.0.37|||GFPIP|true|||||||12.82.0.37|12.82.0.37|||||295||
12.82.66.12|12.82.66.12|12.82.66.12|||GFPIP|true|||||||12.82.66.12|12.82.66.12|||||265||
12.82.32.56|12.82.32.56|12.82.32.56|||GFPIP|true|||||||12.82.32.56|12.82.32.56|||||367||
12.82.74.18|12.82.74.18|12.82.74.18|||GFPIP|true|||||||12.82.74.18|12.82.74.18|||||||
12.82.80.16|12.82.80.16|12.82.80.16|||GFPIP|true|||||||12.82.80.16|12.82.80.16|||||518||
12.82.0.40|12.82.0.40|12.82.0.40|||GFPIP|true|||||||12.82.0.40|12.82.0.40|||||709||
12.82.90.17|12.82.90.17|12.82.90.17|||GFPIP|true|||||||12.82.90.17|12.82.90.17|||||245||
143.0.68.228|143.0.68.228|143.0.68.228|ETHERNET-NFO|IPAG|IPAG|true|B|MX960|GSVLFLANH08|IPAG2||JUNIPER MX SERIES|10.204.243.102|12.122.131.92|143.0.68.228||IN-SERVICE|GSHFL304IA2|||
149.0.3.212|149.0.3.212|149.0.3.212|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMANN1|IPAG1||JUNIPER MX SERIES|10.204.242.133|12.122.130.129|149.0.3.212||IN-SERVICE|DYAFL306IA3|||
149.9.0.1|149.9.0.1|149.9.0.1|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|BETHCTABH01|IPAG1||JUNIPER MX SERIES|10.204.241.146|12.122.129.181|149.9.0.1||IN-SERVICE|BEACT301IA1|||
150.0.0.138|150.0.0.138|150.0.0.138|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVMAX32|IPAG2||JUNIPER MX SERIES|10.204.241.77|12.122.129.117|150.0.0.138||IN-SERVICE|CRCNV302IA1|||
12.122.8.95|12.122.8.95|12.122.8.95|||GFPIP|true|||CGCIL83CRS|||BR|12.122.8.95|12.122.8.95|||||||
149.4.64.7|149.4.64.7|149.4.64.7|||OEW-VPLS|true||JUNIPER MX960|HS1TX315VR1|||VR1|148.2.0.64|143.0.96.100|149.4.64.7||PROV|||cbbsnmp|
165.87.250.229|165.87.250.229|165.87.250.229|EGS-CFO|EGS|||||HKHNKN1002ER1||||||||||||
148.0.131.230|148.0.131.230|148.0.131.230|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVAA72D|IPAG1||JUNIPER MX SERIES|10.204.241.27|12.122.129.70|148.0.131.230||IN-SERVICE|CRANV374IA1|||
135.184.238.144|135.184.238.144|135.184.238.144|EGS-CFO|EGS|||||omahneegs01-c6513||||||||||||
12.122.125.209|12.122.125.209|12.122.125.209|EGS-CFO|EGS|||||sffca40ck4||||||||||||
32.119.168.205|32.119.168.205|32.119.168.205|||GFPIP|true|||INHYDB1002ME2|||AR|32.119.168.205|32.119.168.205|||||||
165.87.253.167|165.87.253.167|165.87.253.167|||GFPIP|true|||BEBRSL2001ME2|||AR|165.87.253.167|165.87.253.167|||||||
165.87.253.130|165.87.253.130|165.87.253.130|||GFPIP|true|||BEBRSL1001ME2|||AR|165.87.253.130|165.87.253.130|||||6001||
12.122.124.16|12.122.124.16|12.122.124.16|EGS-CFO|EGS|||||attga40ck4||||||||||||
12.82.8.111|12.82.8.111|12.82.8.111|||GFPIP|true|||||||12.82.8.111|12.82.8.111|||||||
12.82.110.19|12.82.110.19|12.82.110.19|||GFPIP|true|||||||12.82.110.19|12.82.110.19|||||||
12.82.40.6|12.82.40.6|12.82.40.6|||GFPIP|true|||||||12.82.40.6|12.82.40.6|||||387||
12.82.92.5|12.82.92.5|12.82.92.5|||GFPIP|true|||||||12.82.92.5|12.82.92.5|||||||
12.82.110.3|12.82.110.3|12.82.110.3|||GFPIP|true|||||||12.82.110.3|12.82.110.3|||||||
12.82.104.17|12.82.104.17|12.82.104.17|||GFPIP|true|||||||12.82.104.17|12.82.104.17|||||945||
12.82.8.30|12.82.8.30|12.82.8.30|||GFPIP|true|||||||12.82.8.30|12.82.8.30|||||609||
12.82.140.5|12.82.140.5|12.82.140.5|||GFPIP|true|||||||12.82.140.5|12.82.140.5|||||||
12.82.78.6|12.82.78.6|12.82.78.6|||GFPIP|true|||||||12.82.78.6|12.82.78.6|||||226||
12.82.102.2|12.82.102.2|12.82.102.2|||GFPIP|true|||||||12.82.102.2|12.82.102.2|||||1061||
12.82.32.38|12.82.32.38|12.82.32.38|||GFPIP|true|||||||12.82.32.38|12.82.32.38|||||725||
12.82.32.4|12.82.32.4|12.82.32.4|||GFPIP|true|||||||12.82.32.4|12.82.32.4|||||360||
12.82.116.1|12.82.116.1|12.82.116.1|||GFPIP|true|||||||12.82.116.1|12.82.116.1|||||1077||
12.82.117.17|12.82.117.17|12.82.117.17|||GFPIP|true|||||||12.82.117.17|12.82.117.17|||||||
12.82.24.40|12.82.24.40|12.82.24.40|||GFPIP|true|||||||12.82.24.40|12.82.24.40|||||650||
12.82.76.26|12.82.76.26|12.82.76.26|||GFPIP|true|||||||12.82.76.26|12.82.76.26|||||1082||
165.87.133.2|165.87.133.2|165.87.133.2|EGS-CFO|EGS|||||HKHNKN1002CR1||||||||||||
12.122.125.74|12.122.125.74|12.122.125.74|EGS-CFO|EGS|||||ormfl50ck4||||||||||||
12.82.0.43|12.82.0.43|12.82.0.43|||GFPIP|true|||||||12.82.0.43|12.82.0.43|||||810||
12.122.124.104|12.122.124.104|12.122.124.104|EGS-CFO|EGS|||||cgcil61ck4||||||||||||
12.122.126.25|12.122.126.25|12.122.126.25|EGS-CFO|EGS|||||sl9mo48ck4||||||||||||
12.82.8.9|12.82.8.9|12.82.8.9|||GFPIP|true|||||||12.82.8.9|12.82.8.9|||||280||
12.122.126.209|12.122.126.209|12.122.126.209|EGS-CFO|EGS|||||nsvtn36ck4||||||||||||
12.122.127.81|12.122.127.81|12.122.127.81|EGS-CFO|EGS|||||mdswi34ck4||||||||||||
12.122.124.65|12.122.124.65|12.122.124.65|EGS-CFO|EGS|||||cb1ma36ck4||||||||||||
12.122.126.54|12.122.126.54|12.122.126.54|EGS-CFO|EGS|||||btmmd32ck4||||||||||||
12.122.8.155|12.122.8.155|12.122.8.155|||GFPIP|true|||ALBNM81CRS|||BR|12.122.8.155|12.122.8.155|||||||
12.123.67.19|12.123.67.19|12.123.67.19|EGS-CFO|EGS|||||phlpa302me1||||||||||||
12.123.70.250|12.123.70.250|12.123.70.250|EGS-CFO|EGS|||||gdrmi304me1||||||||||||
32.119.158.66|32.119.158.66|32.119.158.66|EGS-CFO|EGS|||||GBLOND4001ER1||||||||||||
12.123.67.54|12.123.67.54|12.123.67.54|EGS-CFO|EGS|||||dlstx303me1||||||||||||
165.87.245.86|165.87.245.86|165.87.245.86|EGS-CFO|EGS|||||PAPNCY1002CR1||||||||||||
12.123.67.106|12.123.67.106|12.123.67.106|EGS-CFO|EGS|||||mmptn301me1||||||||||||
12.122.8.156|12.122.8.156|12.122.8.156|||GFPIP|true|||ALBNM82CRS|||BR|12.122.8.156|12.122.8.156|||||||
12.123.67.163|12.123.67.163|12.123.67.163|EGS-CFO|EGS|||||rlgnc302me1||||||||||||
12.123.71.45|12.123.71.45|12.123.71.45|EGS-CFO|EGS|||||sfcca304me1||||||||||||
12.123.67.171|12.123.67.171|12.123.67.171|EGS-CFO|EGS|||||dvmco305me1||||||||||||
12.123.67.66|12.123.67.66|12.123.67.66|EGS-CFO|EGS|||||nw2nj304me1||||||||||||
12.82.8.82|12.82.8.82|12.82.8.82|||GFPIP|true|||||||12.82.8.82|12.82.8.82|||||3026||
12.82.92.1|12.82.92.1|12.82.92.1|||GFPIP|true|||||||12.82.92.1|12.82.92.1|||||3108||
12.122.126.100|12.122.126.100|12.122.126.100|EGS-CFO|EGS|||||n54ny59ck4||||||||||||
12.122.126.137|12.122.126.137|12.122.126.137|EGS-CFO|EGS|||||cl2oh40ck4||||||||||||
135.184.197.189|135.184.197.189|135.184.197.189|EGS-CFO|EGS|||||dllstxegs02-c6513||||||||||||
135.184.239.32|135.184.239.32|135.184.239.32|EGS-CFO|EGS|||||snantxegs01-c6513||||||||||||
12.82.127.64|12.82.127.64|12.82.127.64|||GFPIP|true|||||||12.82.127.64|12.82.127.64|||||3063||
12.123.67.168|12.123.67.168|12.123.67.168|EGS-CFO|EGS|||||nsvtn302me1||||||||||||
12.82.118.23|12.82.118.23|12.82.118.23|||GFPIP|true|||||||12.82.118.23|12.82.118.23|||||3044||
150.0.0.64|150.0.0.64|150.0.0.64|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVAAK86|IPAG1||JUNIPER MX SERIES|12.122.123.133|12.122.128.205|150.0.0.64||IN-SERVICE|CRANV340IA1|||
150.0.0.214|150.0.0.214|150.0.0.214|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVMAA02|IPAG1||JUNIPER MX SERIES|10.204.242.0|12.122.130.26|150.0.0.214||IN-SERVICE|CRCNV330IA1|||
12.122.123.167|12.122.123.167|12.122.123.167|||GFPIP|true|||KC9MO301RR5|||RR|12.122.123.167|12.122.123.167|||||||
192.168.114.110|192.168.114.110|192.168.114.110|ETHERNET-NFO|IPAG|SROUTER|true|S|2821-DC|SNJSCA02CA1|||CISCO 2800 SERIES|192.168.112.119||192.168.114.110||IN-SERVICE|SNACA65NM9|||
78.23.44.28|78.23.44.28|78.23.44.28|||OEW-VPLS|true||JUNIPER MX960|N54NY301VR1|||VR1|10.204.250.42|12.122.72.127|78.23.44.28||CAPPED|||currentstring|
8.8.0.210|8.8.0.210|8.8.0.210|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVAA1Q9|IPAG1||JUNIPER MX SERIES|12.81.161.227|12.123.76.113|8.8.0.210||IN-SERVICE|CRDNV332IA1|||
8.8.0.246|8.8.0.246|8.8.0.246|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVAAH30|IPAG1||JUNIPER MX SERIES|12.81.162.21|12.123.76.163|8.8.0.246||IN-SERVICE|CRDNV352IA1|||
88.33.55.4|88.33.55.4|88.33.55.4|||OEW-VPLS|true||JUNIPER MX960|NSVTN309VR1|||VR1|12.122.126.196|10.0.35.81|88.33.55.4||PROV|||cbbsnmp|
12.122.8.1|12.122.8.1|12.122.8.1|||GFPIP|true|||N54NY21CRS|||BR|12.122.8.1|12.122.8.1|||||||
12.82.40.21|12.82.40.21|12.82.40.21|||GFPIP|true|||||||12.82.40.21|12.82.40.21|||||475||
165.87.253.133|165.87.253.133|165.87.253.133|||GFPIP|true|||DEFRNK1001ME2|||AR|165.87.253.133|165.87.253.133|||||||
165.87.253.150|165.87.253.150|165.87.253.150|||GFPIP|true|||CHZRCH1001ME2|||AR|165.87.253.150|165.87.253.150|||||||
165.87.253.129|165.87.253.129|165.87.253.129|||GFPIP|true|||GBLOND2001ME2|||AR|165.87.253.129|165.87.253.129|||||||
12.82.8.104|12.82.8.104|12.82.8.104|||GFPIP|true|||||||12.82.8.104|12.82.8.104|||||||
12.122.123.129|12.122.123.129|12.122.123.129|||GFPIP|true|||N54NY301RR5|||RR|12.122.123.129|12.122.123.129|||||||
12.82.32.71|12.82.32.71|12.82.32.71|||GFPIP|true|||||||12.82.32.71|12.82.32.71|||||727||
12.82.40.41|12.82.40.41|12.82.40.41|||GFPIP|true|||||||12.82.40.41|12.82.40.41|||||471||
12.82.88.22|12.82.88.22|12.82.88.22|||GFPIP|true|||||||12.82.88.22|12.82.88.22|||||557||
12.80.0.208|12.80.0.208|12.80.0.208|ETHERNET-NFO|IPAG|IPAG|true|B|MX960|DYBHFLMA52W|IPAG2||JUNIPER MX SERIES|10.204.246.145|12.123.74.244|12.80.0.208||IN-SERVICE|DYCFL302IA2|||
12.82.32.62|12.82.32.62|12.82.32.62|||GFPIP|true|||||||12.82.32.62|12.82.32.62|||||728||
12.123.80.80|12.123.80.80|12.123.80.80|ETHERNET-NFO|IPAG|IPAG|true|S|MX960|CRCYNVAA8IP|IPAG2||JUNIPER MX SERIES|12.122.122.107|12.123.136.86|12.123.80.80||IN-SERVICE|CRANV302IA2|||
12.80.72.46|12.80.72.46|12.80.72.46|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|RLGHNCMAQV7|IPAG1||JUNIPER MX SERIES|10.204.247.44|12.123.75.133|12.80.72.46||IN-SERVICE|RLFNC318IA1|||
143.0.68.134|143.0.68.134|143.0.68.134|ETHERNET-NFO|IPAG|IPAG|true|S|MX960|CRCYNVMAI15|IPAG2||JUNIPER MX SERIES|10.204.243.0|12.122.130.247|143.0.68.134||IN-SERVICE|CRCNV336IA2|||
148.0.131.168|148.0.131.168|148.0.131.168|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVAAB79|IPAG1||JUNIPER MX SERIES|12.122.123.200|12.122.129.6|148.0.131.168||IN-SERVICE|CRANV356IA1|||
149.0.3.151|149.0.3.151|149.0.3.151|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMAKLF|IPAG1||JUNIPER MX SERIES|10.204.242.68|12.122.130.65|149.0.3.151||IN-SERVICE|DYAFL372IA1|||
143.0.24.58|143.0.24.58|143.0.24.58|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|STAGFLMAA9N|IPAG1||JUNIPER MX SERIES|10.204.243.197|12.122.131.184|143.0.24.58||IN-SERVICE|STBFL306IA3|||
143.0.24.57|143.0.24.57|143.0.24.57|ETHERNET-NFO|IPAG|IPAG|true|B|MX960|STAGFLMAA9M|IPAG2||JUNIPER MX SERIES|10.204.243.196|12.122.131.183|143.0.24.57||IN-SERVICE|STBFL315IA2|||
150.0.0.168|150.0.0.168|150.0.0.168|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVMAI41|IPAG1||JUNIPER MX SERIES|10.204.241.113|12.122.129.148|150.0.0.168||IN-SERVICE|CRCNV318IA1|||
148.0.131.206|148.0.131.206|148.0.131.206|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|RENONVYA698|IPAG1||JUNIPER MX SERIES|12.122.123.237|12.122.129.43|148.0.131.206||IN-SERVICE|REANV309IA1|||
12.80.68.130|12.80.68.130|12.80.68.130|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|RLGHNCMOP23|IPAG1||JUNIPER MX SERIES|10.204.246.179|12.123.75.22|12.80.68.130||IN-SERVICE|RLGNC312IA1|||
150.0.0.218|150.0.0.218|150.0.0.218|ETHERNET-NFO|IPAG|IPAG|true|S|MX960|CRCYNVMAA08|IPAG2||JUNIPER MX SERIES|10.204.242.4|12.122.130.30|150.0.0.218||IN-SERVICE|CRCNV308IA2|||
12.122.8.12|12.122.8.12|12.122.8.12|||GFPIP|true|||WSWDC22CRS|||BR|12.122.8.12|12.122.8.12|||||||
192.168.114.116|192.168.114.116|192.168.114.116|ETHERNET-NFO|IPAG|SROUTER|true|S|2821-DC|SNTCCA010NW|||CISCO 2800 SERIES|192.168.112.116||192.168.114.116||IN-SERVICE|SNDCA63NM9|||
8.8.0.227|8.8.0.227|8.8.0.227|ETHERNET-NFO|IPAG|IPAG|true|B|MX960|DYBHFLMNRW3|IPAG2||JUNIPER MX SERIES|12.81.161.252|12.123.76.137|8.8.0.227||IN-SERVICE|DYDFL301IA2|||
8.8.0.168|8.8.0.168|8.8.0.168|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVAAP92|IPAG1||JUNIPER MX SERIES|12.81.161.181|12.123.76.66|8.8.0.168||IN-SERVICE|CRDNV312IA1|||
